question,answer,question_clean,topic_id,prob,topic_name
Can I request an invoice for my order?,"Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details.",can i request an invoice for my order?,2,1.0,offer
Can I order a product that is labeled as 'limited edition'?,'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.,can i order a product that is labeled as 'limited edition'?,1,0.8251444216169026,listed
Can I return a product if I no longer have the original packaging?,"While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.",can i return a product if i no longer have the original packaging?,0,1.0,return
Can I request a product that is currently out of stock to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.",can i request a product that is currently out of stock to be reserved for me?,1,1.0,listed
Can I order a product that is listed as 'pre-order' with other in-stock items?,"Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.",can i order a product that is listed as 'pre-order' with other in-stock items?,1,1.0,listed
Can I return a product if it was damaged during shipping?,"If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process.",can i return a product if it was damaged during shipping?,0,1.0,return
Can I request a product that is out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,can i request a product that is out of stock to be restocked?,1,1.0,listed
Can I order a product if it is listed as 'backordered'?,Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.,can i order a product if it is listed as 'backordered'?,1,0.867459036181199,listed
Can I return a product if it was purchased during a sale or with a discount?,"Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.",can i return a product if it was purchased during a sale or with a discount?,0,1.0,return
Can I request a product repair or replacement if it is damaged?,"If you receive a damaged product, please contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement.",can i request a product repair or replacement if it is damaged?,0,1.0,return
Can I order a product if it is listed as 'out of stock' but available for pre-order?,"If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",can i order a product if it is listed as 'out of stock' but available for pre-order?,1,1.0,listed
Can I return a product if it was purchased as a gift?,"Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.",can i return a product if it was purchased as a gift?,0,0.8544845781304791,return
Can I request a product if it is listed as 'discontinued'?,"Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website.",can i request a product if it is listed as 'discontinued'?,1,1.0,listed
Can I order a product if it is listed as 'sold out'?,"If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.",can i order a product if it is listed as 'sold out'?,1,1.0,listed
Can I return a product if it was purchased with a gift card?,"Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.",can i return a product if it was purchased with a gift card?,0,0.9033946524620309,return
Can I request a product if it is not currently available in my size?,"If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.",can i request a product if it is not currently available in my size?,1,1.0,listed
Can I order a product if it is listed as 'coming soon' but available for pre-order?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.",can i order a product if it is listed as 'coming soon' but available for pre-order?,1,1.0,listed
Can I return a product if it was purchased with a discount code?,"Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.",can i return a product if it was purchased with a discount code?,0,1.0,return
Can I request a custom order or personalized product?,We do not currently offer custom orders or personalized products. Please explore the available products on our website.,can i request a custom order or personalized product?,-1,0.0,custom
Can I order a product if it is listed as 'temporarily unavailable'?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.",can i order a product if it is listed as 'temporarily unavailable'?,1,0.9879377752232921,listed
Can I return a product if it was damaged due to improper use?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.,can i return a product if it was damaged due to improper use?,0,1.0,return
Can I request a product if it is listed as 'coming soon' but not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",can i request a product if it is listed as 'coming soon' but not available for pre-order?,1,1.0,listed
Can I order a product if it is listed as 'on hold'?,"If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available.",can i order a product if it is listed as 'on hold'?,1,0.9887486053950094,listed
Can I return a product if I no longer have the original receipt?,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance.",can i return a product if i no longer have the original receipt?,0,1.0,return
Can I request a product that is listed as 'limited edition' to be restocked?,"Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available.",can i request a product that is listed as 'limited edition' to be restocked?,1,1.0,listed
Can I order a product if it is listed as 'discontinued' but still visible on the website?,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification.",can i order a product if it is listed as 'discontinued' but still visible on the website?,1,1.0,listed
Can I return a product if it was a clearance or final sale item?,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.,can i return a product if it was a clearance or final sale item?,0,0.948517435601941,return
Can I request a product if it is not listed on your website?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.",can i request a product if it is not listed on your website?,1,0.9631845818566374,listed
Can I order a product if it is listed as 'out of stock' but available for backorder?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",can i order a product if it is listed as 'out of stock' but available for backorder?,1,1.0,listed
Can I return a product if it was purchased as part of a bundle or set?,"If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.",can i return a product if it was purchased as part of a bundle or set?,0,1.0,return
Can I request a product that is listed as 'out of stock' to be restocked?,We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.,can i request a product that is listed as 'out of stock' to be restocked?,1,1.0,listed
Can I order a product if it is listed as 'coming soon' and available for pre-order?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.",can i order a product if it is listed as 'coming soon' and available for pre-order?,1,1.0,listed
Can I return a product if it was damaged due to mishandling during shipping?,"If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement.",can i return a product if it was damaged due to mishandling during shipping?,0,1.0,return
Can I request a product that is listed as 'out of stock' to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.",can i request a product that is listed as 'out of stock' to be reserved for me?,1,1.0,listed
Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",can i order a product if it is listed as 'pre-order' but available for backorder?,1,1.0,listed
Can I return a product if it was purchased with store credit?,"Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.",can i return a product if it was purchased with store credit?,0,1.0,return
Can I request a product that is currently out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,can i request a product that is currently out of stock to be restocked?,1,1.0,listed
Can I order a product if it is listed as 'sold out' but available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",can i order a product if it is listed as 'sold out' but available for pre-order?,1,1.0,listed
Can I return a product if it was purchased with a promotional gift card?,"Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.",can i return a product if it was purchased with a promotional gift card?,0,1.0,return
Can I request a product if it is not currently available in my preferred color?,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.",can i request a product if it is not currently available in my preferred color?,1,1.0,listed
Can I order a product if it is listed as 'coming soon' and not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",can i order a product if it is listed as 'coming soon' and not available for pre-order?,1,1.0,listed
Can I return a product if it was purchased during a promotional event?,"Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts.",can i return a product if it was purchased during a promotional event?,0,1.0,return
